,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
geometry_ratio_scaled,0.01330608649785915,0.03499887055596942,-0.18471391994672876,-0.14326374740425996,-0.07536330561770109,-0.009157164951488507,0.08979560649230207,0.031063127627332265,-0.012379106727419485,-0.01999141049024778,0.6101328552232885,0.07095130550171777,-0.16312035919931273,0.49526458769689446,0.0656827321733043,0.13342668654082876,-0.10264418646561631,0.058158702874118416,-0.27128745388922754,0.19395143547533644,-0.11167965462357995
none_ratio_scaled,-0.07137604297915372,0.1452410586059223,-0.10262248318524037,0.4011179822316314,0.13385590958018173,0.10748796996318283,0.06456733565854535,0.2616311164079459,0.03915883284674076,-0.07001250537966815,-0.0037174766656173077,0.08470479129796991,0.004733170695517903,0.08305738050590529,-0.08930681870799331,-0.04072640815051878,-0.0014158916589768569,-0.05417939829681595,0.11841902078129805,0.13511896172039514,0.09047489691931383
total_edits_scaled,0.349067562521503,0.03590701335016718,0.004319680659071833,-0.03249820309753099,0.0674619433529449,0.0472181805365155,0.07943272141385488,0.01529027898857336,0.09807805083791638,-0.07462192149029323,-0.04059135801506952,-0.03604376586300015,0.025946430065398905,-0.04240408040087232,0.034255030203287136,-0.013687590865734818,0.030986271420854333,-0.01323508240652202,-0.058397391873368065,0.015911091397274865,-0.0002483959596158383
burstiness_score_scaled,0.20109173492437682,0.1395458828615701,-0.04036105371693376,0.013501331746664718,9.146797171772637e-05,0.019356719258450183,-0.0487602685509396,-0.001087398721181361,0.161737186201534,0.19147725976298735,-0.19994143643118517,0.17722289502800312,-0.3118396694492166,0.05074840822713261,0.051086220079432344,0.12556815103619454,-0.011337288091798757,0.27888596908132923,0.07088394159002442,-0.26590635315955247,-0.06669373374099559
building_ratio_scaled,0.05135835633975794,-0.18514983689447465,0.2508350806185082,0.05940050786314003,0.2728272077634917,0.07094963541028283,0.03856540028917754,0.04041357136240061,-0.019318288507256257,0.1568194669523447,-0.016197259659271945,0.1015755384124165,0.1321217230749523,-0.0352927606394948,0.11530737516512367,0.2867015384040094,-0.22274841584828806,0.05035499987811293,-0.13102246534212852,0.23330722833189213,0.15470946089622753
road_ratio_scaled,0.051609548600355964,0.044614374048534605,-0.3219945846592225,0.1861252430254831,0.11282681235634465,0.04712524738131477,0.008349807813801402,-0.13734470291940187,-0.07354226288136112,0.0045224631295624745,0.244175609705336,-0.13220643193799267,-0.15014862401949405,-0.029597688602432937,-0.06671885264635015,-0.31330006980734626,0.29942842164056255,0.030117698999123643,0.21333378175785986,-0.24850866037949762,0.10582948967612686
amenity_ratio_scaled,-0.08870745290193527,0.27311032439888683,0.1461110422897255,-0.01816293075583712,0.2403583790176472,-0.05655619285523462,0.060450224431854264,-0.0792473360003947,-0.13180769450910265,-0.061740833787036126,0.036156789192732984,0.03210873489477151,-0.0066149470405001635,0.017280225908129485,-0.04839672025494735,0.019799942052362834,0.07419723028917849,0.004006124218927474,-0.06890190679674699,-0.09920529736374907,-0.06060817343983431
shop_ratio_scaled,-0.08083682228141204,0.21350363659726018,0.1538493179952525,-0.031303871217079775,0.1396662055595387,-0.042359775126507446,0.012142098350292556,-0.0033657014885846662,-0.07526289835873069,-0.1891030050427259,0.06013625746566318,0.10389351465651035,-0.12968240362357525,-0.10774402955605533,0.1557958515933596,-0.1289036053803702,-0.12422314300243562,0.013102884525717975,-0.23127709543871228,-0.15680206988997547,0.674959052532203
educational_institution_ratio_scaled,-0.01974574902906384,0.1196187476775387,0.034377492395667925,-0.0427568032446182,0.31488966968823806,0.0009810590041004611,0.0880893774238656,-0.102392107800413,-0.21404818859502067,0.0018053638923130806,0.12131993425144734,0.06443781787822421,0.11135497408134527,-0.06124640969921118,0.010344048410306029,0.587856318550922,0.4860625654758187,-0.05806475161071776,0.19235288775740597,-0.11823255943321002,-0.10865502354193472
healthcare_facility_ratio_scaled,-0.04338050249126214,0.14060823715217208,0.09642355102596799,-0.05090416324324303,0.16700044330353747,-0.02266063998025821,0.02737025402079533,-0.039511436187589004,-0.12187992190761346,-0.2388714223857697,0.149908161773193,0.22577312461585589,-0.22988262296024342,-0.32957405784272303,0.4730092308964924,-0.23440264510209416,-0.1903601210352381,0.0601415348393231,0.31439543756136784,0.24459468443188057,-0.37647030535858506
land_use_ratio_scaled,0.054043776500377276,0.04715603553541609,-0.07985472191853439,-0.12190880621754208,0.28499762911688375,-0.11470909306177361,0.04670984553334289,-0.2544776870384228,-0.1404162419970866,0.2019690399528821,-0.0687003273803586,-0.14089124986610263,0.2269752060645424,0.1845678896557855,-0.2146765107102772,-0.23398393977163356,-0.38520432831155055,0.2526677437762973,0.23840821092675235,-0.09686849527531805,-0.057203306352359956
